rule,top_1st_digit,top_2nd_digit,top_3rd_digit
rule0001_01,2,2.4,2.4.1
rule0001_02,2,2.4,2.4.1
rule0001_03,2,2.4,2.4.1
rule0001_04,2,2.4,2.4.1
rule0001_05,2,2.4,2.4.1
rule0001_06,2,2.4,2.4.1
rule0001_07,2,2.4,2.4.3
rule0001_08,2,2.4,2.4.1
rule0001_09,2,2.4,2.4.1
rule0001_10,2,2.4,2.4.3
rule0001_11,2,2.4,2.4.1
rule0001_12,2,2.4,2.4.3
rule0001_13,2,2.4,2.4.1
rule0001_14,2,2.4,2.4.1
rule0001_15,2,2.4,2.4.1
rule0001_16,2,2.4,2.4.1
rule0001_17,2,2.4,2.4.1
rule0001_19,2,2.4,2.4.1
rule0001_20,2,2.4,2.4.1
rule0001_22,2,2.4,2.4.1
rule0001_23,2,2.4,2.4.1
rule0001_24,2,2.4,2.4.1
rule0001_25,2,2.4,2.4.1
rule0001_27,2,2.4,2.4.3
rule0001_33,2,2.4,2.4.1
rule0001_34,2,2.4,2.4.1
rule0001_35,2,2.4,2.4.1
rule0001_37,2,2.4,2.4.2
rule0001_42,2,2.4,2.4.1
rule0001_44,2,2.4,2.4.1
rule0001_46,2,2.4,2.4.1
rule0001_49,2,2.4,2.4.1
rule0001_50,2,2.4,2.4.1
rule0001_51,2,2.4,2.4.1
rule0001_52,2,2.4,2.4.1
rule0001_53,2,2.4,2.4.1
rule0001_54,2,2.4,2.4.1
rule0001_58,2,2.4,2.4.2
rule0001_60,2,2.4,2.4.2
rule0001_61,2,2.4,2.4.2
rule0001_67,2,2.3,2.3.1
rule0001_68,2,2.4,2.4.1
rule0001_70,2,2.4,2.4.1
rule0001_71,2,2.4,2.4.1
rule0001_73,2,2.4,2.4.1
rule0001_74,2,2.4,2.4.1
rule0001_76,2,2.4,2.4.1
rule0001_79,2,2.3,2.3.1
rule0001_81,2,2.3,2.3.1
rule0001_82,2,2.4,2.4.1
rule0001_86,2,2.3,2.3.1
rule0001_87,2,2.3,2.3.1
rule0001_88,2,2.4,2.4.1
rule0001_89,2,2.3,2.3.1
rule0001_90,2,2.4,2.4.1
rule0002_001,1,1.1,1.1.1
rule0002_002,1,1.1,1.1.1
rule0002_003,1,1.1,1.1.1
rule0002_007,1,1.1,1.1.1
rule0002_008,1,1.1,1.1.1
rule0002_010,1,1.1,1.1.1
rule0002_013,1,1.1,1.1.1
rule0002_016,1,1.1,1.1.1
rule0002_017,1,1.1,1.1.1
rule0002_019,1,1.1,1.1.1
rule0002_020,1,1.1,1.1.1
rule0002_025,1,1.1,1.1.1
rule0002_026,1,1.1,1.1.1
rule0002_027,1,1.1,1.1.1
rule0002_028,1,1.1,1.1.1
rule0002_029,1,1.1,1.1.1
rule0002_030,1,1.1,1.1.1
rule0002_031,1,1.1,1.1.1
rule0002_033,1,1.1,1.1.1
rule0002_034,1,1.1,1.1.1
rule0002_035,1,1.1,1.1.1
rule0002_036,1,1.1,1.1.1
rule0002_037,1,1.1,1.1.1
rule0002_038,1,1.1,1.1.1
rule0002_039,1,1.1,1.1.1
rule0002_041,1,1.1,1.1.1
rule0002_043,1,1.1,1.1.1
rule0002_044,1,1.1,1.1.1
rule0002_045,1,1.1,1.1.1
rule0002_046,1,1.1,1.1.1
rule0002_048,1,1.1,1.1.1
rule0002_049,1,1.1,1.1.1
rule0002_050,1,1.1,1.1.1
rule0002_051,1,1.1,1.1.1
rule0002_052,1,1.1,1.1.1
rule0002_053,1,1.1,1.1.1
rule0002_055,1,1.1,1.1.1
rule0002_057,1,1.1,1.1.1
rule0002_060,1,1.1,1.1.1
rule0002_061,1,1.1,1.1.1
rule0002_063,1,1.1,1.1.1
rule0002_064,1,1.1,1.1.1
rule0002_065,1,1.1,1.1.1
rule0002_066,1,1.1,1.1.1
rule0002_068,1,1.1,1.1.1
rule0002_070,1,1.1,1.1.1
rule0002_072,1,1.1,1.1.1
rule0002_073,1,1.1,1.1.1
rule0002_074,1,1.1,1.1.1
rule0002_075,1,1.1,1.1.1
rule0002_076,1,1.1,1.1.1
rule0002_077,1,1.1,1.1.1
rule0002_079,1,1.1,1.1.1
rule0002_080,1,1.1,1.1.1
rule0002_081,1,1.1,1.1.1
rule0002_082,1,1.1,1.1.1
rule0002_083,1,1.1,1.1.1
rule0002_084,1,1.1,1.1.1
rule0002_085,1,1.1,1.1.1
rule0002_086,1,1.1,1.1.1
rule0002_087,1,1.1,1.1.1
rule0002_088,1,1.1,1.1.1
rule0002_089,1,1.1,1.1.1
rule0002_090,1,1.1,1.1.1
rule0002_091,1,1.1,1.1.1
rule0002_092,1,1.1,1.1.1
rule0002_093,1,1.1,1.1.1
rule0002_094,1,1.1,1.1.1
rule0002_095,1,1.1,1.1.1
rule0002_096,1,1.1,1.1.1
rule0002_097,1,1.1,1.1.1
rule0002_098,1,1.1,1.1.1
rule0002_099,1,1.1,1.1.1
rule0002_100,1,1.1,1.1.1
rule0002_103,1,1.1,1.1.1
rule0002_104,1,1.1,1.1.1
rule0002_105,1,1.1,1.1.1
rule0002_106,1,1.1,1.1.1
rule0002_107,1,1.1,1.1.1
rule0002_108,1,1.1,1.1.1
rule0002_109,1,1.1,1.1.1
rule0002_110,1,1.1,1.1.1
rule0002_113,1,1.1,1.1.1
rule0002_114,1,1.1,1.1.1
rule0002_115,1,1.1,1.1.1
rule0002_117,1,1.1,1.1.1
rule0002_118,1,1.1,1.1.1
rule0002_119,1,1.1,1.1.1
rule0002_120,1,1.1,1.1.1
rule0002_121,1,1.1,1.1.1
rule0002_122,1,1.1,1.1.1
rule0002_123,1,1.1,1.1.1
rule0002_125,1,1.1,1.1.1
rule0002_126,1,1.1,1.1.1
rule0002_128,1,1.1,1.1.1
rule0002_130,1,1.1,1.1.1
rule0002_131,1,1.1,1.1.1
rule0002_132,1,1.1,1.1.1
rule0002_133,1,1.1,1.1.1
rule0002_134,1,1.1,1.1.1
rule0002_135,1,1.1,1.1.1
rule0002_136,1,1.1,1.1.1
rule0002_137,1,1.1,1.1.1
rule0002_138,1,1.1,1.1.1
rule0002_139,1,1.1,1.1.1
rule0002_140,1,1.1,1.1.1
rule0002_141,1,1.1,1.1.1
rule0002_142,1,1.1,1.1.1
rule0002_144,1,1.1,1.1.1
rule0002_145,1,1.1,1.1.1
rule0002_147,1,1.1,1.1.1
rule0002_148,1,1.1,1.1.1
rule0002_150,1,1.1,1.1.1
rule0002_152,1,1.1,1.1.1
rule0002_153,1,1.1,1.1.1
rule0002_154,1,1.1,1.1.1
rule0003_002,1,1.1,1.1.1
rule0003_003,1,1.1,1.1.1
rule0003_004,1,1.1,1.1.1
rule0003_005,1,1.1,1.1.1
rule0003_007,1,1.1,1.1.1
rule0003_008,1,1.1,1.1.1
rule0003_009,1,1.1,1.1.1
rule0003_012,1,1.1,1.1.1
rule0003_013,1,1.1,1.1.1
rule0003_014,1,1.1,1.1.1
rule0003_015,1,1.1,1.1.1
rule0003_016,1,1.1,1.1.1
rule0003_017,1,1.1,1.1.1
rule0003_018,1,1.1,1.1.1
rule0003_019,1,1.1,1.1.1
rule0003_023,1,1.1,1.1.1
rule0003_024,1,1.1,1.1.1
rule0003_025,1,1.1,1.1.1
rule0003_027,1,1.1,1.1.1
rule0003_028,1,1.1,1.1.1
rule0003_031,1,1.1,1.1.1
rule0003_032,1,1.1,1.1.1
rule0003_033,1,1.1,1.1.1
rule0003_035,1,1.1,1.1.1
rule0003_036,1,1.1,1.1.1
rule0003_038,1,1.1,1.1.1
rule0003_039,1,1.1,1.1.1
rule0003_040,1,1.1,1.1.1
rule0003_041,1,1.1,1.1.1
rule0003_043,1,1.1,1.1.1
rule0003_044,1,1.1,1.1.1
rule0003_046,1,1.1,1.1.1
rule0003_050,1,1.1,1.1.1
rule0003_051,1,1.1,1.1.1
rule0003_052,1,1.1,1.1.1
rule0003_053,1,1.1,1.1.1
rule0003_057,1,1.1,1.1.1
rule0003_059,1,1.1,1.1.1
rule0003_062,1,1.1,1.1.1
rule0003_063,1,1.1,1.1.1
rule0003_066,1,1.1,1.1.1
rule0003_067,1,1.1,1.1.1
rule0003_068,1,1.1,1.1.1
rule0003_069,1,1.1,1.1.1
rule0003_070,1,1.1,1.1.1
rule0003_071,1,1.1,1.1.1
rule0003_072,1,1.1,1.1.1
rule0003_075,1,1.1,1.1.1
rule0003_076,1,1.1,1.1.1
rule0003_078,1,1.1,1.1.1
rule0003_079,1,1.1,1.1.1
rule0003_081,1,1.1,1.1.1
rule0003_083,1,1.1,1.1.1
rule0003_084,1,1.1,1.1.1
rule0003_085,1,1.1,1.1.1
rule0003_086,1,1.1,1.1.1
rule0003_089,1,1.1,1.1.1
rule0003_090,1,1.1,1.1.1
rule0003_091,1,1.1,1.1.1
rule0003_094,1,1.1,1.1.1
rule0003_095,1,1.1,1.1.1
rule0003_096,1,1.1,1.1.1
rule0003_098,1,1.1,1.1.1
rule0003_099,1,1.1,1.1.1
rule0003_100,1,1.1,1.1.1
rule0003_101,1,1.1,1.1.1
rule0003_102,1,1.1,1.1.1
rule0003_103,1,1.1,1.1.1
rule0003_104,1,1.1,1.1.1
rule0003_106,1,1.1,1.1.1
rule0003_107,1,1.1,1.1.1
rule0003_109,1,1.1,1.1.1
rule0003_110,1,1.2,1.2.1
rule0003_114,1,1.1,1.1.1
rule0003_116,1,1.1,1.1.1
rule0003_118,1,1.1,1.1.1
rule0003_119,1,1.1,1.1.1
rule0003_121,1,1.1,1.1.1
rule0003_122,1,1.1,1.1.1
rule0003_123,1,1.1,1.1.1
rule0003_124,1,1.1,1.1.1
rule0003_125,1,1.1,1.1.1
rule0003_130,1,1.1,1.1.1
rule0003_131,1,1.1,1.1.1
rule0003_134,1,1.1,1.1.1
rule0003_135,1,1.1,1.1.1
rule0003_136,1,1.1,1.1.1
rule0003_139,1,1.1,1.1.1
rule0003_140,1,1.1,1.1.1
rule0003_142,1,1.1,1.1.1
rule0003_143,1,1.1,1.1.1
rule0003_144,1,1.1,1.1.1
rule0003_145,1,1.1,1.1.1
rule0003_146,1,1.1,1.1.1
rule0003_147,1,1.1,1.1.1
rule0003_148,1,1.1,1.1.1
rule0003_149,1,1.1,1.1.1
rule0003_152,1,1.1,1.1.1
rule0003_153,1,1.1,1.1.1
rule0003_154,1,1.1,1.1.1
rule0003_155,1,1.1,1.1.1
rule0003_157,1,1.1,1.1.1
rule0003_158,1,1.1,1.1.1
rule0003_159,1,1.1,1.1.1
rule0003_160,1,1.1,1.1.1
rule0003_161,1,1.1,1.1.1
rule0003_162,1,1.1,1.1.1
rule0003_163,1,1.1,1.1.1
rule0003_164,1,1.1,1.1.1
rule0003_165,1,1.1,1.1.1
rule0003_166,1,1.1,1.1.1
rule0003_167,1,1.1,1.1.1
rule0003_168,1,1.1,1.1.1
rule0003_169,1,1.1,1.1.1
rule0003_170,1,1.1,1.1.1
rule0003_171,1,1.1,1.1.1
rule0003_172,1,1.1,1.1.1
rule0003_173,1,1.1,1.1.1
rule0003_174,1,1.1,1.1.1
rule0003_175,1,1.1,1.1.1
rule0003_176,1,1.1,1.1.1
rule0003_177,1,1.1,1.1.1
rule0004_01,1,1.14,1.14.13
rule0004_02,1,1.14,1.14.13
rule0004_03,1,1.14,1.14.13
